"";"baseMean";"log2FoldChange";"lfcSE";"stat";"pvalue";"padj";"qvalue";"log10P"
"KLF12";230;-0,491;0,376;-1,31;0,191;0,929;1;0,718
"RACK1";28900;-0,379;0,29;-1,31;0,191;0,929;1;0,718
"SFXN2";793;0,627;0,48;1,31;0,191;0,929;1;0,718
"APC2";36,3;-0,7;0,536;-1,31;0,191;0,929;1;0,718
"GFPT2";207;0,475;0,363;1,31;0,191;0,929;1;0,718
"EMC1";821;0,463;0,355;1,31;0,192;0,929;1;0,718
"PRMT3";270;0,318;0,243;1,31;0,192;0,929;1;0,718
"TGFBR3";1210;0,474;0,363;1,31;0,192;0,929;1;0,717
"MAPK8IP2";182;0,578;0,443;1,31;0,192;0,929;1;0,717
"GRB10";1290;0,513;0,393;1,31;0,192;0,929;1;0,717
"VSIG1";56,3;-0,64;0,491;-1,31;0,192;0,929;1;0,717
"RPL32";26900;-0,576;0,441;-1,31;0,192;0,929;1;0,717
"AP003072.4";1,02;2,72;2,08;1,3;0,192;NA;1;0,717
"IRX2";2230;0,374;0,287;1,3;0,192;0,929;1;0,717
"AL590787.1";1,98;1,72;1,32;1,3;0,192;NA;1;0,717
"NEK6";1620;0,557;0,427;1,3;0,192;0,929;1;0,717
"MT-TQ";27;-0,832;0,638;-1,3;0,192;0,929;1;0,717
"METTL7B";3,8;-1,56;1,2;-1,3;0,192;0,929;1;0,717
"LINC02245";32,4;-0,785;0,602;-1,3;0,192;0,929;1;0,717
"NPTN";3450;0,309;0,237;1,3;0,192;0,929;1;0,717
"KPNA7";4,09;1,06;0,812;1,3;0,192;0,929;1;0,716
"AC012358.1";11,4;-0,723;0,555;-1,3;0,192;0,929;1;0,716
"DSE";390;-0,411;0,315;-1,3;0,192;0,929;1;0,716
"NHLRC4";57,9;-0,55;0,422;-1,3;0,192;0,929;1;0,716
"FAM240A";28,4;0,882;0,676;1,3;0,192;0,929;1;0,716
"AGBL5-IT1";7,62;0,925;0,709;1,3;0,192;0,929;1;0,716
"AC018926.2";2,52;-1,27;0,972;-1,3;0,192;NA;1;0,716
"CKAP2L";14,4;-0,976;0,749;-1,3;0,192;0,929;1;0,716
"AC010198.1";3,09;1,64;1,26;1,3;0,193;0,929;1;0,715
"DBNL";3030;-0,284;0,218;-1,3;0,193;0,929;1;0,715
"ADAMTS9-AS2";43,6;0,59;0,453;1,3;0,193;0,929;1;0,715
"SORT1";3100;0,469;0,36;1,3;0,193;0,929;1;0,715
"GRB14";22,3;1;0,77;1,3;0,193;0,929;1;0,715
"GPR62";3,99;1,2;0,92;1,3;0,193;0,929;1;0,715
"LRRC3";125;-0,521;0,4;-1,3;0,193;0,929;1;0,715
"AC097376.1";14,8;0,748;0,574;1,3;0,193;0,929;1;0,715
"KISS1R";9,6;-0,744;0,571;-1,3;0,193;0,929;1;0,715
"AC093797.1";26,1;0,802;0,616;1,3;0,193;0,929;1;0,715
"SOAT1";1320;0,429;0,329;1,3;0,193;0,929;1;0,714
"HOXC5";1,39;-2,46;1,89;-1,3;0,193;NA;1;0,714
"AL390195.1";38,4;0,888;0,682;1,3;0,193;0,929;1;0,714
"NBPF11";596;0,37;0,284;1,3;0,193;0,929;1;0,714
"AC090510.3";6,43;1,92;1,47;1,3;0,193;0,929;1;0,714
"ADAMTSL2";96,8;-0,673;0,517;-1,3;0,193;0,929;1;0,714
"TCAP";962;1,89;1,46;1,3;0,193;0,929;1;0,714
"NRL";54,7;-0,479;0,368;-1,3;0,193;0,929;1;0,714
"MTMR2";836;0,402;0,309;1,3;0,193;0,929;1;0,714
"MT1G";207;0,866;0,665;1,3;0,193;0,929;1;0,714
"RBBP7";3100;0,27;0,208;1,3;0,193;0,929;1;0,714
"PRR14";747;-0,304;0,234;-1,3;0,193;0,929;1;0,714
"SLC4A2";1700;-0,324;0,249;-1,3;0,193;0,929;1;0,714
"AC005592.1";2,23;1,89;1,45;1,3;0,193;NA;1;0,714
"SH3BP2";1390;-0,404;0,31;-1,3;0,193;0,929;1;0,714
"KCNH5";3,74;-1,74;1,34;-1,3;0,193;0,929;1;0,714
"CAPNS1";4720;-0,331;0,255;-1,3;0,193;0,929;1;0,713
"AC021678.2";3,58;-1,35;1,04;-1,3;0,193;0,929;1;0,713
"NT5M";61,6;-0,511;0,393;-1,3;0,194;0,929;1;0,713
"SNAPIN";766;-0,457;0,352;-1,3;0,194;0,929;1;0,713
"SUN1";3850;0,355;0,273;1,3;0,194;0,929;1;0,713
"SAMMSON";29,2;-0,707;0,544;-1,3;0,194;0,929;1;0,713
"ELOVL2-AS1";1,54;-1,96;1,51;-1,3;0,194;NA;1;0,713
"NECAP1";1370;0,293;0,226;1,3;0,194;0,929;1;0,713
"LAMP2";4960;0,409;0,314;1,3;0,194;0,929;1;0,713
"NXPE4";49,1;0,72;0,555;1,3;0,194;0,929;1;0,712
"RNF25";436;-0,362;0,279;-1,3;0,194;0,929;1;0,712
"CST6";12,5;-0,93;0,716;-1,3;0,194;0,929;1;0,712
"AC006518.7";7,1;1,05;0,81;1,3;0,194;0,929;1;0,712
"LINC00895";28,6;-0,743;0,572;-1,3;0,194;0,929;1;0,712
"ADGRF4";1,87;2,3;1,77;1,3;0,194;NA;1;0,712
"VIP";7,39;1,16;0,897;1,3;0,194;0,929;1;0,712
"MRPL2";752;-0,327;0,252;-1,3;0,194;0,929;1;0,712
"PPP1R35";758;-0,454;0,35;-1,3;0,194;0,929;1;0,712
"ICE2";817;0,393;0,303;1,3;0,194;0,929;1;0,712
"AC121338.2";22,9;0,631;0,486;1,3;0,194;0,929;1;0,712
"GPR37";34,6;0,581;0,447;1,3;0,194;0,929;1;0,712
"BTG3-AS1";15,3;-0,661;0,509;-1,3;0,194;0,929;1;0,712
"CENPH";83,8;-0,479;0,369;-1,3;0,194;0,929;1;0,712
"AC009133.5";1,21;-2,92;2,25;-1,3;0,194;NA;1;0,712
"ERVK13-1";586;0,428;0,33;1,3;0,194;0,929;1;0,712
"KANTR";428;0,441;0,34;1,3;0,194;0,929;1;0,712
"RAD18";206;-0,359;0,277;-1,3;0,194;0,929;1;0,712
"AC067838.1";19,9;0,653;0,503;1,3;0,194;0,929;1;0,711
"FBXL8";1080;0,418;0,322;1,3;0,194;0,929;1;0,711
"DSG3";145;0,766;0,591;1,3;0,195;0,929;1;0,711
"NDUFA13";4970;-0,526;0,406;-1,3;0,195;0,929;1;0,711
"RCHY1";593;0,423;0,326;1,3;0,195;0,929;1;0,711
"AL606760.3";3,42;1,59;1,23;1,3;0,195;0,929;1;0,711
"SLC25A20";527;0,324;0,25;1,3;0,195;0,929;1;0,711
"AC064805.1";6,25;-1,26;0,97;-1,3;0,195;0,929;1;0,711
"MRPL53";1300;-0,494;0,381;-1,3;0,195;0,929;1;0,71
"TIMM13";1720;-0,454;0,351;-1,3;0,195;0,929;1;0,71
"MTLN";384;-0,556;0,429;-1,3;0,195;0,929;1;0,71
"SYT14";2,08;-1,54;1,19;-1,3;0,195;NA;1;0,71
"AC004832.3";3,37;1,75;1,35;1,3;0,195;0,929;1;0,71
"KLF3";1770;0,329;0,254;1,3;0,195;0,929;1;0,71
"MUC15";823;0,621;0,479;1,3;0,195;0,929;1;0,71
"ARAP1";2320;-0,312;0,241;-1,3;0,195;0,929;1;0,71
"SLC26A2";5200;0,58;0,447;1,3;0,195;0,929;1;0,71
"RPL37";29200;-0,615;0,475;-1,3;0,195;0,929;1;0,71
"SERPINH1";1230;-0,395;0,305;-1,3;0,195;0,929;1;0,71
"RSPH9";29,1;-0,456;0,352;-1,3;0,195;0,929;1;0,71
"AC108010.1";195;0,785;0,606;1,3;0,195;0,929;1;0,71
"PCTP";433;0,314;0,242;1,3;0,195;0,929;1;0,71
"MAPK8IP1";1170;-0,617;0,476;-1,3;0,195;0,929;1;0,71
"APLP1";77,1;-0,589;0,455;-1,3;0,195;0,929;1;0,71
"ZKSCAN2";144;0,373;0,288;1,3;0,195;0,929;1;0,709
"AC092192.1";4,55;1,43;1,11;1,3;0,195;0,929;1;0,709
"AC055811.4";82,3;0,496;0,383;1,3;0,195;0,929;1;0,709
"PLGLB1";61,4;0,61;0,471;1,29;0,195;0,929;1;0,709
"MYO7A";125;-0,452;0,349;-1,29;0,196;0,929;1;0,709
"SDS";24,7;-0,702;0,543;-1,29;0,196;0,929;1;0,709
"RBM42";1280;-0,35;0,27;-1,29;0,196;0,929;1;0,709
"HOXC8";2,71;-1,75;1,35;-1,29;0,196;NA;1;0,709
"AC005899.5";2,74;-1,31;1,01;-1,29;0,196;0,929;1;0,709
"MYL6";19700;-0,515;0,398;-1,29;0,196;0,929;1;0,709
"TPI1";7610;-0,361;0,279;-1,29;0,196;0,929;1;0,709
"CD99L2";1130;-0,473;0,365;-1,29;0,196;0,929;1;0,709
"CACNA1G";9,26;-0,978;0,756;-1,29;0,196;0,929;1;0,708
"AL359233.1";0,986;-2,72;2,11;-1,29;0,196;NA;1;0,708
"AC124947.1";5,17;1,12;0,866;1,29;0,196;0,929;1;0,708
"PARP15";619;-0,585;0,453;-1,29;0,196;0,929;1;0,708
"VCAM1";586;-0,499;0,386;-1,29;0,196;0,929;1;0,708
"GPRIN3";296;-0,63;0,487;-1,29;0,196;0,929;1;0,708
"AC003005.2";1,97;4,55;3,52;1,29;0,196;NA;1;0,708
"DPYSL4";210;0,511;0,395;1,29;0,196;0,929;1;0,708
"ZFP91";1960;0,284;0,22;1,29;0,196;0,929;1;0,708
"SLC30A10";1,83;-2,28;1,77;-1,29;0,196;NA;1;0,708
"EPHA8";0,608;-3,29;2,55;-1,29;0,196;NA;1;0,708
"SLC25A40";461;0,435;0,336;1,29;0,196;0,929;1;0,708
"NBDY";547;-0,411;0,318;-1,29;0,196;0,929;1;0,708
"PRSS35";14,3;-0,965;0,746;-1,29;0,196;0,929;1;0,707
"AC104809.2";3,24;-1,45;1,12;-1,29;0,196;0,929;1;0,707
"SLC22A25";2,87;1,26;0,976;1,29;0,196;0,929;1;0,707
"ITGAL";727;-0,498;0,385;-1,29;0,196;0,929;1;0,707
"CHSY1";817;0,292;0,226;1,29;0,196;0,929;1;0,707
"MTRNR2L12";6,68;-1,26;0,975;-1,29;0,196;0,929;1;0,707
"PTPN3";785;0,47;0,364;1,29;0,196;0,929;1;0,707
"CFLAR";4170;-0,293;0,227;-1,29;0,196;0,929;1;0,707
"AC096887.2";14;0,615;0,476;1,29;0,196;0,929;1;0,707
"AC011825.2";2,01;-1,91;1,48;-1,29;0,196;NA;1;0,707
"ANKRD44-IT1";4,6;-1,19;0,921;-1,29;0,196;0,929;1;0,707
"DNAJB13";6,09;-1,1;0,848;-1,29;0,196;0,929;1;0,707
"CASP1";617;-0,588;0,455;-1,29;0,196;0,929;1;0,707
"AL121906.2";6,34;0,902;0,698;1,29;0,196;0,929;1;0,707
"AL139352.1";2,35;-2,22;1,72;-1,29;0,196;NA;1;0,707
"SMIM2-AS1";30,7;0,579;0,448;1,29;0,197;0,929;1;0,707
"CCDC110";211;0,499;0,387;1,29;0,197;0,929;1;0,707
"APEH";1910;-0,29;0,224;-1,29;0,197;0,929;1;0,706
"GPSM1";298;-0,591;0,458;-1,29;0,197;0,929;1;0,706
"CDKAL1";305;0,309;0,239;1,29;0,197;0,929;1;0,706
"RPL3L";71,7;1,64;1,27;1,29;0,197;0,929;1;0,706
"TTLL7";553;0,531;0,411;1,29;0,197;0,929;1;0,706
"GPR180";547;0,397;0,308;1,29;0,197;0,929;1;0,706
"AC021755.3";0,806;-2,78;2,15;-1,29;0,197;NA;1;0,706
"VIPR1";1360;0,504;0,39;1,29;0,197;0,929;1;0,706
"ABHD15";419;-0,34;0,263;-1,29;0,197;0,929;1;0,706
"AC243829.1";16,3;-1,02;0,787;-1,29;0,197;0,929;1;0,706
"CARD6";413;0,339;0,263;1,29;0,197;0,929;1;0,706
"AC007991.4";1,99;1,69;1,31;1,29;0,197;NA;1;0,706
"AL359220.1";111;0,459;0,356;1,29;0,197;0,929;1;0,706
"AL451042.2";21,3;0,553;0,428;1,29;0,197;0,929;1;0,706
"MEA1";1280;-0,44;0,341;-1,29;0,197;0,929;1;0,706
"GSTM4";511;-0,3;0,232;-1,29;0,197;0,929;1;0,706
"AC006213.4";5,78;1,11;0,857;1,29;0,197;0,929;1;0,705
"APOBEC3F";167;-0,391;0,303;-1,29;0,197;0,929;1;0,705
"LINC01405";10,3;1,46;1,14;1,29;0,197;0,929;1;0,705
"AL022097.1";0,625;-3,26;2,53;-1,29;0,197;NA;1;0,705
"CDRT4";420;0,598;0,464;1,29;0,197;0,929;1;0,705
"AC092171.3";60,5;0,48;0,372;1,29;0,197;0,929;1;0,705
"EIF3K";4320;-0,411;0,319;-1,29;0,197;0,929;1;0,704
"RPL15";46700;-0,469;0,364;-1,29;0,198;0,929;1;0,704
"CDR2";1050;0,35;0,272;1,29;0,198;0,929;1;0,704
"MAPK3";1430;-0,364;0,283;-1,29;0,198;0,929;1;0,704
"CYSTM1";732;-0,44;0,341;-1,29;0,198;0,929;1;0,704
"SRGAP2C";312;-0,515;0,4;-1,29;0,198;0,929;1;0,704
"AC016252.1";1,1;2,36;1,83;1,29;0,198;NA;1;0,704
"CALU";5110;0,415;0,322;1,29;0,198;0,929;1;0,704
"KIF20B";128;-0,619;0,481;-1,29;0,198;0,929;1;0,704
"DSTN";11600;0,319;0,248;1,29;0,198;0,929;1;0,704
"CTDNEP1";2090;-0,294;0,228;-1,29;0,198;0,929;1;0,704
"PRSS54";1,05;2,52;1,96;1,29;0,198;NA;1;0,704
"AC084026.2";7,9;0,931;0,723;1,29;0,198;0,929;1;0,704
"ZNF319";271;-0,384;0,298;-1,29;0,198;0,929;1;0,704
"AF131215.4";6;-1,1;0,857;-1,29;0,198;0,929;1;0,704
"TMEM101";952;-0,381;0,296;-1,29;0,198;0,929;1;0,703
"VEZF1";1290;0,283;0,219;1,29;0,198;0,929;1;0,703
"ZNF853";312;-0,449;0,349;-1,29;0,198;0,929;1;0,703
"AC000123.3";53,8;0,545;0,424;1,29;0,198;0,929;1;0,703
"SHCBP1L";0,977;2,75;2,13;1,29;0,198;NA;1;0,703
"MAPK1";2510;0,342;0,266;1,29;0,198;0,929;1;0,703
"HCG22";4,55;1,66;1,29;1,29;0,198;0,929;1;0,703
"AL035661.1";946;0,464;0,36;1,29;0,198;0,929;1;0,703
"AC092384.1";9,23;-0,725;0,563;-1,29;0,198;0,929;1;0,703
"GATA2-AS1";21,4;0,524;0,407;1,29;0,198;0,929;1;0,703
"OAS1";1240;0,738;0,573;1,29;0,198;0,929;1;0,703
"DKKL1";5,22;-1,3;1,01;-1,29;0,198;0,929;1;0,703
"CEP128";122;-0,655;0,509;-1,29;0,198;0,929;1;0,703
"GIMAP2";302;-0,528;0,41;-1,29;0,198;0,929;1;0,703
"AL031123.3";7,83;0,939;0,73;1,29;0,198;0,929;1;0,703
"TSPAN3";10900;0,446;0,346;1,29;0,198;0,929;1;0,703
"PTPRU";1150;-0,516;0,401;-1,29;0,198;0,929;1;0,703
"OAZ1";18100;-0,381;0,297;-1,29;0,198;0,929;1;0,703
"LRP11";1500;0,378;0,294;1,29;0,198;0,929;1;0,702
"AC093904.4";4,39;-1,32;1,03;-1,29;0,198;0,929;1;0,702
"AC123912.4";19,2;-0,725;0,563;-1,29;0,198;0,929;1;0,702
"AC012378.2";1,69;2,05;1,6;1,29;0,199;NA;1;0,702
"CCDC124";1440;-0,411;0,319;-1,29;0,199;0,929;1;0,702
"AKAP5";82,5;-0,578;0,449;-1,29;0,199;0,929;1;0,702
"PCDHGB6";149;0,606;0,472;1,29;0,199;0,929;1;0,702
"TYMP";3090;-0,601;0,468;-1,29;0,199;0,929;1;0,702
"HSFX1";30,2;0,764;0,594;1,29;0,199;0,929;1;0,702
"GALNT12";4580;0,58;0,451;1,29;0,199;0,929;1;0,702
"PCDHB1";43,8;-0,718;0,559;-1,29;0,199;0,929;1;0,702
"CACNA1D";226;0,363;0,283;1,28;0,199;0,929;1;0,702
"CEP83";186;0,601;0,468;1,28;0,199;0,929;1;0,702
"APOBEC3B-AS1";1,49;-1,57;1,22;-1,28;0,199;NA;1;0,701
"AC073254.1";18,9;0,677;0,527;1,28;0,199;0,929;1;0,701
"AC005481.1";3,12;1,39;1,08;1,28;0,199;0,93;1;0,701
"CAB39L";640;0,363;0,282;1,28;0,199;0,93;1;0,701
"PGAM2";165;1,5;1,17;1,28;0,199;0,93;1;0,701
"DOC2A";30,8;0,61;0,475;1,28;0,199;0,93;1;0,701
"RBM39";6070;0,363;0,283;1,28;0,199;0,93;1;0,701
"HBZ";1,6;2,1;1,64;1,28;0,199;NA;1;0,7
"SLC11A2";2620;0,408;0,318;1,28;0,199;0,931;1;0,7
"FADD";681;-0,351;0,274;-1,28;0,199;0,931;1;0,7
"FALEC";3;1,39;1,08;1,28;0,2;0,931;1;0,7
"TRAPPC2";455;0,284;0,221;1,28;0,2;0,931;1;0,7
"ACP6";663;0,371;0,289;1,28;0,2;0,931;1;0,7
"SAMD11";71,7;-0,586;0,457;-1,28;0,2;0,931;1;0,7
"KDM4C";765;0,344;0,268;1,28;0,2;0,931;1;0,7
"AL161893.1";3,25;-1,95;1,52;-1,28;0,2;0,931;1;0,7
"TMEFF2";4,57;1,09;0,849;1,28;0,2;0,931;1;0,7
"CASC4";3380;0,311;0,242;1,28;0,2;0,931;1;0,7
"SDSL";163;-0,447;0,349;-1,28;0,2;0,931;1;0,699
"AC010260.1";2,8;1,51;1,18;1,28;0,2;0,931;1;0,699
"MAP7";1780;0,447;0,349;1,28;0,2;0,931;1;0,699
"TMEM236";33,4;-0,459;0,358;-1,28;0,2;0,931;1;0,699
"TECTA";37,7;0,554;0,432;1,28;0,2;0,931;1;0,699
"AC074194.1";1,12;2,73;2,13;1,28;0,2;NA;1;0,699
"AC110275.1";2,03;-4,46;3,48;-1,28;0,2;NA;1;0,699
"ENPP2";532;-0,533;0,416;-1,28;0,2;0,931;1;0,699
"GALNT14";21,4;-0,67;0,523;-1,28;0,2;0,931;1;0,699
"IGLV2-33";26;-1,13;0,884;-1,28;0,2;0,932;1;0,698
"TMEM41B";981;0,288;0,225;1,28;0,2;0,932;1;0,698
"RAD51B";436;0,606;0,473;1,28;0,2;0,932;1;0,698
"TRIM67";6,4;0,883;0,69;1,28;0,2;0,932;1;0,698
"DAPK1-IT1";1,73;-2,04;1,59;-1,28;0,201;NA;1;0,698
"C5orf60";2,48;-1,7;1,33;-1,28;0,201;NA;1;0,698
"SLC30A6";646;0,341;0,267;1,28;0,201;0,932;1;0,698
"SLC6A4";27,6;-0,737;0,576;-1,28;0,201;0,932;1;0,698
"FOXA1";2120;0,636;0,497;1,28;0,201;0,932;1;0,698
"WFDC3";8,06;-1,11;0,864;-1,28;0,201;0,932;1;0,697
"TMOD3";1310;0,354;0,276;1,28;0,201;0,932;1;0,697
"HAS1";8,85;-0,962;0,752;-1,28;0,201;0,932;1;0,697
"AL157931.2";2,62;1,57;1,23;1,28;0,201;NA;1;0,697
"AP000692.2";12,3;-0,628;0,491;-1,28;0,201;0,932;1;0,697
"ADGRF3";39,3;0,523;0,409;1,28;0,201;0,932;1;0,697
"ADH1C";546;-0,822;0,643;-1,28;0,201;0,932;1;0,697
"PHKG1";70,2;0,727;0,568;1,28;0,201;0,932;1;0,697
"IGHV3-53";1900;-0,769;0,601;-1,28;0,201;0,932;1;0,697
"CDH8";29,4;0,621;0,486;1,28;0,201;0,932;1;0,697
"DUSP28";243;-0,353;0,276;-1,28;0,201;0,932;1;0,697
"AC068870.1";4,41;1,01;0,787;1,28;0,201;0,932;1;0,697
"AC040162.3";59,7;-0,401;0,314;-1,28;0,201;0,932;1;0,697
"AC015726.1";24;0,549;0,429;1,28;0,201;0,932;1;0,697
"SHTN1";1110;0,436;0,341;1,28;0,201;0,932;1;0,697
"ODF2";759;0,465;0,364;1,28;0,201;0,932;1;0,697
"LYRM9";461;-0,421;0,33;-1,28;0,201;0,932;1;0,696
"MFSD2B";9,17;-0,993;0,777;-1,28;0,201;0,932;1;0,696
"AC112694.2";5,78;1,04;0,817;1,28;0,201;0,932;1;0,696
"ZHX3";685;0,457;0,358;1,28;0,201;0,932;1;0,696
"AP003068.2";176;-0,335;0,262;-1,28;0,201;0,932;1;0,696
"AL163636.2";1870;0,513;0,402;1,28;0,201;0,932;1;0,696
"AP001178.2";1,3;-2,39;1,87;-1,28;0,202;NA;1;0,696
"AC002044.1";1,23;-2,46;1,93;-1,28;0,202;NA;1;0,696
"AL096870.2";111;0,299;0,234;1,28;0,202;0,932;1;0,696
"GPR158";2,33;1,46;1,15;1,28;0,202;NA;1;0,695
"GMPPB";3600;0,45;0,353;1,28;0,202;0,933;1;0,695
"ACSM6";1,42;2,26;1,77;1,28;0,202;NA;1;0,695
"ATAD3C";160;-0,37;0,29;-1,28;0,202;0,933;1;0,695
"CYP19A1";18,4;-1,9;1,49;-1,28;0,202;0,933;1;0,695
"AC118282.4";14,2;-0,853;0,669;-1,28;0,202;0,933;1;0,695
"PPP1R21";416;-0,281;0,221;-1,28;0,202;0,933;1;0,694
"RELL1";132;0,347;0,272;1,28;0,202;0,933;1;0,694
"MFAP3";199;0,414;0,325;1,28;0,202;0,933;1;0,694
"UBE4A";1150;0,407;0,319;1,28;0,202;0,933;1;0,694
"LINC01060";3,84;1,86;1,46;1,28;0,202;0,933;1;0,694
"BORCS7";898;0,346;0,271;1,28;0,202;0,933;1;0,694
"MZT2B";4970;-0,498;0,39;-1,28;0,202;0,933;1;0,694
"LMNB2";837;-0,416;0,326;-1,28;0,202;0,933;1;0,694
"CSAG3";1,92;-2,02;1,58;-1,28;0,202;NA;1;0,694
"DDX42";3420;0,366;0,287;1,28;0,202;0,933;1;0,694
"AL592164.1";1,57;-1,88;1,47;-1,27;0,202;NA;1;0,694
"ZMYND11";2190;0,288;0,226;1,27;0,202;0,933;1;0,694
"VIL1";18,5;-0,859;0,674;-1,27;0,202;0,933;1;0,694
"PRPF39";938;0,542;0,425;1,27;0,202;0,933;1;0,694
"SH3BP4";5980;0,514;0,403;1,27;0,202;0,933;1;0,694
"AC104623.2";3,84;-1,06;0,833;-1,27;0,202;0,933;1;0,694
"MTRR";761;0,313;0,246;1,27;0,203;0,933;1;0,694
"AC093326.1";1,61;2,51;1,97;1,27;0,203;NA;1;0,693
"SLC25A36";1540;0,459;0,361;1,27;0,203;0,933;1;0,693
"OR51E1";10,1;1,06;0,833;1,27;0,203;0,933;1;0,693
"SLC10A6";6,11;1,11;0,873;1,27;0,203;0,933;1;0,693
"PTN";814;0,504;0,396;1,27;0,203;0,933;1;0,693
"MME";440;-0,701;0,55;-1,27;0,203;0,933;1;0,693
"AL158066.1";1,09;-4,26;3,35;-1,27;0,203;NA;1;0,693
"IDH1";5380;0,384;0,301;1,27;0,203;0,933;1;0,693
"C9orf50";5,92;-0,935;0,734;-1,27;0,203;0,933;1;0,693
"ATP6V1G2";26,7;-0,796;0,625;-1,27;0,203;0,933;1;0,693
"BMPR1A";1230;0,328;0,257;1,27;0,203;0,933;1;0,693
"LINC01597";7,36;1,12;0,876;1,27;0,203;0,933;1;0,693
"CFAP221";11,7;0,72;0,565;1,27;0,203;0,933;1;0,693
"C1orf87";1,13;-2,61;2,05;-1,27;0,203;NA;1;0,693
"AC007952.7";4,65;-1,58;1,24;-1,27;0,203;0,933;1;0,692
"IFFO1";585;-0,339;0,267;-1,27;0,203;0,933;1;0,692
"LINC00276";2,11;4,41;3,46;1,27;0,203;NA;1;0,692
"AL132640.1";1,31;2,31;1,82;1,27;0,203;NA;1;0,692
"SPAG4";411;-0,465;0,366;-1,27;0,203;0,933;1;0,692
"FTX";1610;0,448;0,352;1,27;0,203;0,933;1;0,692
"MRVI1";209;0,383;0,301;1,27;0,203;0,933;1;0,692
"NEIL3";7,96;-1,08;0,845;-1,27;0,203;0,933;1;0,692
"PSMD4";2440;-0,307;0,241;-1,27;0,203;0,933;1;0,692
"NT5DC1";1270;0,37;0,291;1,27;0,203;0,933;1;0,692
"DHX40";875;0,337;0,265;1,27;0,203;0,933;1;0,692
"R3HCC1";1020;-0,356;0,28;-1,27;0,203;0,933;1;0,691
"DENND4C";808;0,445;0,35;1,27;0,203;0,933;1;0,691
"FCGR3A";419;-0,499;0,393;-1,27;0,204;0,933;1;0,691
"AC098969.1";0,608;-3,23;2,54;-1,27;0,204;NA;1;0,691
"BTN3A2";1930;-0,491;0,386;-1,27;0,204;0,934;1;0,691
"POU3F3";44,3;0,504;0,396;1,27;0,204;0,934;1;0,691
"AC092803.2";54,9;-0,462;0,363;-1,27;0,204;0,934;1;0,691
"LINC02133";3,59;-1,24;0,972;-1,27;0,204;0,934;1;0,691
"FIS1";3490;-0,494;0,389;-1,27;0,204;0,934;1;0,691
"PAX9";1100;0,479;0,377;1,27;0,204;0,934;1;0,691
"CRYZL2P-SEC16B";339;0,656;0,516;1,27;0,204;0,934;1;0,691
"RNU6-125P";0,985;2,1;1,65;1,27;0,204;NA;1;0,691
"BMP7";128;-0,609;0,479;-1,27;0,204;0,934;1;0,69
"SLC27A5";300;-0,559;0,44;-1,27;0,204;0,934;1;0,69
"KCNT1";10,8;0,886;0,697;1,27;0,204;0,934;1;0,69
"WDR92";361;0,254;0,2;1,27;0,204;0,934;1;0,69
"GDPD2";3,56;1,34;1,06;1,27;0,204;0,934;1;0,69
"AC068987.2";2;2,37;1,86;1,27;0,204;NA;1;0,69
"RPS18";44500;-0,504;0,397;-1,27;0,204;0,934;1;0,69
"CYP2A13";3,52;-1,59;1,25;-1,27;0,204;0,934;1;0,69
"AC015802.4";8,29;0,811;0,639;1,27;0,204;0,934;1;0,69
"LINC02029";2,11;-2,52;1,99;-1,27;0,204;NA;1;0,689
"ZNF780B";430;0,449;0,354;1,27;0,205;0,934;1;0,689
"RALGAPA1";806;0,453;0,357;1,27;0,205;0,934;1;0,689
"RFX4";6,25;1,66;1,31;1,27;0,205;0,934;1;0,689
"MTFR2";15;-0,845;0,666;-1,27;0,205;0,934;1;0,689
"CDK1";64;-0,627;0,494;-1,27;0,205;0,934;1;0,689
"MT-TY";545;-0,649;0,512;-1,27;0,205;0,934;1;0,689
"PLXNC1";500;-0,485;0,382;-1,27;0,205;0,934;1;0,689
"AC018638.7";32,3;0,534;0,421;1,27;0,205;0,934;1;0,689
"RPL3";81100;-0,389;0,307;-1,27;0,205;0,934;1;0,689
"SCFD2";287;0,403;0,318;1,27;0,205;0,934;1;0,689
"PANK1";102;0,33;0,26;1,27;0,205;0,934;1;0,689
"TBC1D1";1170;-0,399;0,315;-1,27;0,205;0,934;1;0,689
"TMEM231";226;0,395;0,312;1,27;0,205;0,934;1;0,688
"AP002761.1";4,12;1,26;0,998;1,27;0,205;0,934;1;0,688
"NUBP2";1480;-0,392;0,31;-1,27;0,205;0,934;1;0,688
"CNPPD1";1660;-0,309;0,244;-1,27;0,205;0,934;1;0,688
"SPATA6";328;0,417;0,329;1,27;0,205;0,934;1;0,688
"IGKV2D-26";11,1;-1,11;0,878;-1,27;0,205;0,934;1;0,688
"DENND2A";279;-0,45;0,355;-1,27;0,205;0,934;1;0,688
"SYTL4";543;0,594;0,468;1,27;0,205;0,934;1;0,688
"AC084024.1";1,36;2,14;1,69;1,27;0,205;NA;1;0,688
"AC026401.3";34,7;-0,451;0,356;-1,27;0,205;0,934;1;0,688
"AC069209.1";3,2;-1,21;0,957;-1,27;0,205;0,934;1;0,688
"MLC1";9;-1,24;0,981;-1,27;0,205;0,934;1;0,688
"TRERF1";187;-0,446;0,352;-1,27;0,205;0,934;1;0,688
"NTPCR";854;-0,463;0,365;-1,27;0,205;0,934;1;0,688
"ALDH1L2";1450;0,65;0,513;1,27;0,205;0,934;1;0,688
"LINC00607";15,5;0,795;0,628;1,27;0,205;0,934;1;0,687
